Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YearTotalmm
1894,121.9,44.1,42.1,83.6,58.4,43.9,156.3,99,63.4,59.6,92.7,48,913
1895,91.8,2.9,51.6,39.4,1.5,42.1,76.9,65.1,9.4,177.7,110.8,129.2,798.4
1896,27.5,9.2,56.3,17.2,10.1,54.8,23.7,66,192.2,133.7,47.8,117.7,756.2
1897,64.3,56.9,90.2,84.8,47.9,87,14.9,140.5,92.8,26,33.6,97.5,836.4
1898,20.1,47.5,39.7,32.5,104.8,56.3,22.6,60.3,31.9,81.2,82,112.4,691.3
1899,102.4,43.4,11.3,77.8,57.3,22.9,17.6,7.8,80,28.6,89.7,68.2,607
1900,95.4,113.1,32.3,29.1,28.4,41.3,30.9,48.7,34.7,55.5,151.5,107.1,768
1901,42.7,36,69.4,90.8,28.2,17,29.3,40,38,83.1,23,109.6,607.1
1902,45.6,37.9,58.5,82,74.8,44.4,22.9,66.3,41.9,67.9,63,69.5,674.7
1903,66,56.5,57.4,36.5,65.3,91.7,52.6,84.6,70,159.7,74.2,66.9,881.4
1904,109.2,92.4,49.2,48.4,54.9,20.3,62,52.6,71.8,125.2,67,107.6,860.6
1905,37.7,38,101.5,47.4,9.5,92.2,13.9,60.7,88.7,42.5,143.5,21.8,697.4
1906,107,90.7,39.3,32.1,53.8,10.4,14.2,13.9,18.6,76.6,123.6,74.7,654.9
1907,35.6,38.5,13.9,55.2,70.5,34.9,50,12.7,36.5,137.8,87.4,73.5,646.5
1908,17.4,46.2,68.5,54.3,27.2,22,20.9,32.3,69.8,42.2,30.9,112.4,544.1
1909,49.9,18.5,101.7,21.1,14.5,99,44.6,19.4,43.7,144.8,39.6,126,722.8
1910,91.6,115,58.4,25.7,57.1,92.8,68.5,72,14.8,130.6,266.4,70.3,1063.2
1911,47.2,29.1,63.4,32,15.3,80.4,20.6,16.8,31.6,94.4,101.6,165.7,698.1
1912,71.2,67.6,152.5,11.9,19.6,126.6,84.6,187.1,71,110.1,73.4,71,1046.6
1913,114.3,28.7,52.2,47.7,49.3,17.5,24.6,18.2,35.7,87.4,109.7,81.5,666.8
1914,35.2,80,124.4,27,29.3,18.2,88.8,58.4,78.8,85.3,88.6,202.7,916.7
1915,108.2,116.5,20.1,50.2,33.1,11.7,70.4,28.1,111.7,55.3,90.2,179.4,874.9
1916,28.9,168.5,68.1,24.4,37.5,15.5,9,58.6,86.8,105.1,134.2,103.4,840
1917,48.6,33.8,61.7,32.7,56.6,39.4,47,125.5,21.6,162.3,44.2,51.6,725
1918,35.6,27.3,58,58.1,37.7,16.2,68.9,40.9,100.2,74.9,78.5,91.9,688.2
1919,144.5,124.9,117,39.8,30.2,17.7,50.8,55,51.6,41.8,120.1,104.8,898.2
1920,91.6,8,42,71.9,43.7,57.2,67.6,21.2,79.4,31.5,41.4,91.5,647
1921,58.4,9.9,28.2,31.5,22.4,37.6,17.5,26.9,30,18,75.4,70.1,425.9
1922,114,54.4,96.8,87.4,30.5,46.5,86.4,69.9,63,49.3,66.5,117.3,882
1923,56.1,110.2,55.4,78,85.6,24.1,26.4,34,84.8,122.4,114.8,98,889.8
1924,80,26.7,69.9,87.6,58.9,24.4,64.3,68.8,89.4,107.4,38.4,92.5,808.3
1925,112.6,80.4,20.9,84.9,95.7,0.2,50.2,79.3,62.4,63.8,108.6,145.4,904.4
1926,98.6,72.6,26.2,74.8,56.2,97,28.1,33.5,9.3,78.7,170.9,23.9,769.8
1927,118,44.8,84.3,35.2,4.3,83.3,66.4,107.2,170.7,46.4,109.4,63.8,933.8
1928,126.2,102.8,62.7,58.8,131.5,53.2,14.7,82.1,49.3,154.4,101.2,103.5,1040.4
1929,74.1,44.8,1.2,49.2,44.7,86,38,33.4,128.1,158.4,189.5,139.9,987.3
1930,96,62.3,70.5,112.2,58.7,16.4,93.7,69.7,83.2,104.9,210.6,117.5,1095.7
1931,94.8,100.1,64.9,49.1,47.7,37.7,65.8,218.9,63.8,17,106.1,33.3,899.2
1932,52.2,12.5,61.5,67.2,80,38.7,30.8,20.6,105.4,162.3,69,36.7,736.9
1933,67.4,111.6,36,40.9,69.1,68.8,62.4,54.6,63.5,82.4,56.9,58.2,771.8
1934,81.1,6.8,105.2,47.7,20.3,31.3,12.2,112,59.7,83.3,81,203.8,844.4
1935,29.4,113.4,24,83.2,51.5,93.9,24.9,60,81.7,114.9,162.9,170.2,1010
1936,168.5,69.5,67.7,41.5,26.4,54.5,90.8,22.5,67.2,38.4,131.6,40.4,819
1937,129.2,165.4,97.5,60.2,65.2,24.3,32,26.5,88.8,89.1,68.3,150,996.5
1938,134.5,41.8,8,2.3,17,7.1,42.4,60.4,72.3,113.5,127.8,144.1,771.2
1939,135,41.1,51.8,41.6,18.9,60.7,76.6,33,17.7,138.5,119.6,66.5,801
1940,77.5,95.4,96.5,36.3,39.6,6.6,138.2,0.6,47.7,75.9,224,137.5,975.8
1941,94.2,97.5,87.1,74.3,47.4,56.6,50,214.1,12.3,43,57.3,72.9,906.7
1942,110.5,15,62.5,31.2,127,19.8,50.7,95.3,98.7,82.7,50,97.7,841.1
1943,119.8,50.5,20,30.6,48.9,22.8,69.3,46.1,77.8,81.5,55.9,64.4,687.6
1944,59.2,32.3,6.5,78.9,10.5,42.3,72,44.9,47.6,133.5,190.1,92.6,810.4
1945,91.8,73.8,11.7,22.1,46.7,47.1,71.3,68.5,49.8,51,28,107.2,669
1946,61.9,58.9,36,57.5,71.5,45.2,53.9,125.1,65.4,27.4,91.1,104.3,798.2
1947,86.7,36.3,132.3,69.1,37.1,75.7,31.6,32.2,48.2,35.5,132,131.4,848.1
1948,142,27.8,24.8,54.7,45.6,36,33.6,72.7,38.1,66.9,78,79.7,699.9
1949,42.6,12.9,36.7,19.8,32,11.9,7.4,25.9,57.3,173.1,197.4,62.5,679.5
1950,44.1,125.6,31.7,48.9,55.8,37.2,81.3,91.8,133,69.4,213.5,138.6,1070.9
1951,74.2,92.9,85.4,51.5,92.3,39.7,34.9,127.7,117.4,22.8,166.1,112.5,1017.4
1952,125.9,37.2,102.1,44.5,23.4,9.1,27.7,80.7,203.6,128.5,129.4,160.5,1072.6
1953,20.6,37.4,7.1,82.3,39.6,29.4,61.3,37.7,57,50.2,50.8,28.3,501.7
1954,74.9,64.7,80.2,23.7,32,45.1,61.1,82.6,101.2,66.1,110.5,85.3,827.4
1955,90.8,95.7,39.8,8.2,59,53.6,38.5,17.1,75.1,92.8,31.7,117.6,719.9
1956,145,17,20.2,22.6,29.9,43.4,49.2,143.9,53.6,58.7,33.6,111.4,728.5
1957,50.5,170.5,47.6,20.9,23.6,25.3,51.6,70,79,32.5,80.3,83.5,735.3
1958,150.7,108.9,77.7,17.4,83.3,82.1,27.2,101.4,53.2,112,90.6,97.9,1002.4
1959,125.8,3.1,47,90.9,47.2,13.9,20,45.6,14.9,92.5,117.8,182.6,801.3
1960,82.8,89.2,65.1,37.9,63.2,42.5,94.3,97,64.4,161.6,139.9,169.7,1107.6
1961,169.3,51.4,2,84.2,28.4,31.5,63.9,12.9,50.8,85.3,141.4,118.3,839.4
1962,125.6,72.9,106,69.6,47.7,3.5,82.6,57.8,79.8,41.4,137.8,126.4,951.1
1963,36.3,49.8,75.6,84.3,36.6,45.4,18.3,94.9,101.7,42.9,154.4,48.5,788.7
1964,24.5,39.9,87.7,79,92.5,79.2,19.1,20.1,33,170.7,94.9,151.2,891.8
1965,170.3,6.6,81.2,42.6,39.9,44.3,45.6,55.2,103,31.5,209.9,235.6,1065.7
1966,123.4,80.4,23.9,119.2,57.9,91.9,40.5,64.7,45.9,162.7,91.7,154.9,1057.1
1967,47.5,63,54.3,40,107.8,13.1,20.8,53.3,128.8,152,118.1,122.3,921
1968,91.7,102.3,27.1,44.3,58.3,61.4,56.4,29.8,102.1,107.3,26.7,85.5,792.9
1969,90.6,105.2,65.8,32.7,93.3,29.8,68.7,22.8,25.7,5.9,126.9,117.9,785.3
1970,128,154.2,71,87,22.9,28.4,40.6,107,45.9,29.2,144.8,74.8,933.8
1971,98.2,34.6,68.4,48.9,43.4,41.1,29.5,51.3,36.9,52.3,144.4,38.1,687.1
1972,90.1,123.8,44.1,89,71.6,53.4,28.1,4.9,31.3,46.7,204.4,58.6,846
1973,54.5,60.9,12.6,50.9,86.1,51.9,25,46.4,72.8,41.9,66.7,76.3,646
1974,84.8,109.8,58.1,16.2,31.5,74.6,44.2,69.6,153.3,128.7,140,70.9,981.7
1975,117.4,11.9,123,53.9,32.4,2.8,36.2,57.4,93.6,63.4,144.4,28.3,764.7
1976,39.7,68.3,50.7,8.3,16.2,0.2,8.7,0.9,104.4,131,141.2,99.6,669.2
1977,120.1,101.7,72.6,41.5,74.5,46.1,40.9,51.6,49.7,42.9,143.4,104.1,889.1
1978,133.8,153.8,138.9,40.2,28.8,61.3,52.5,14.9,23.7,6,26.8,194.5,875.2
1979,126.5,108.9,130.4,78.2,85.2,55.9,27.9,69.8,32.9,66.1,107.3,152.3,1041.4
1980,71.5,97.5,123.4,2.3,51.9,67.7,62.8,35.2,60.1,129.3,120.5,118.2,940.4
1981,69.2,65.6,119.5,36.8,124.9,25.7,45.3,13.9,137.3,187.8,42.5,165.9,1034.4
1982,94.2,42,91.8,30.5,49.2,121.8,52.7,45.1,60.1,179.7,117,174.1,1058.2
1983,71,67.5,66,108,81.7,11.3,23,14.9,81.1,82.8,56.9,65.6,729.8
1984,179.7,60.7,79.2,5.2,84.4,20.9,21.3,44.1,97.2,65.2,118.3,118.4,894.6
1985,107.5,36.9,99.6,54.3,38.3,41.2,49.3,67.8,36.8,66,102.6,96.8,797.1
1986,112.3,30.2,95.8,42.6,61,66.4,42.7,60.3,79.3,104.1,110.6,132.5,937.8
1987,37.8,60.8,58.5,63.6,33.5,75.6,65.5,18.3,44,144,108.9,50.1,760.6
1988,183.9,85.5,122.5,26.6,41.7,14.8,47.8,91.4,69.1,103.1,46,70.8,903.2
1989,39.3,84.8,71.1,75.1,3.6,32.5,8.1,8.6,22.3,38.9,75.9,101.2,561.4
1990,112.5,140.7,11.1,63,7.3,64.2,18,17.5,36,91.4,90.8,100.7,753.2
1991,75.9,46,52.9,43.5,10.9,82.5,34.2,18.2,49.2,90.8,156.2,37.6,697.9
1992,9.2,35.2,50.8,76.3,60.7,52.7,63.3,100.1,88.9,101.5,145.9,114,898.6
1993,68.9,13.2,31.1,61.3,18,85.4,59.9,51,144.3,87.3,46.8,164.3,831.5
1994,133.6,83.7,43.5,64.9,120.3,25,27.8,88,79.8,99.4,90.9,168,1024.9
1995,178.4,139,77.6,46.7,44.3,20.4,49.4,36.4,98.8,33.4,63,99.2,886.6
1996,46.8,105.3,30,22.5,64,10.3,8.9,93.3,40.8,60.7,158.8,75.7,717.1
1997,24,81.7,22.1,30.4,61.3,88.5,16.9,58.8,4.3,113.7,151.2,100.6,753.5
1998,105.7,17.7,59.1,162.4,11.9,84.3,35.5,22.4,113.2,152.4,70.6,131.9,967.1
1999,111.8,63.9,59.5,98.8,30.8,51.8,10.7,89.3,100.6,71,49.9,279.8,1017.9
2000,14.7,75.6,61,91,90.2,28.7,73.3,26.7,67.1,185.7,193.6,125.6,1033.2
2001,181.9,119,196.2,90.8,13.4,23.3,57.7,44.2,42.9,95,72.7,78.8,1015.9
2002,65.3,104.2,63.9,22.4,81.1,64.7,49.3,63.8,50.2,164.1,154.3,126.3,1009.6
2003,93.4,44.4,60.1,30,53.3,34.3,64.2,3.2,41.9,97.1,126.5,97.8,746.2
2004,143.6,37.1,35.8,75.4,29.9,29.3,94,101.8,14.2,218.9,43.7,88.1,911.8
2005,63.4,43.6,51.8,79.6,52.6,39.6,86.8,34.2,36.6,88.4,93.6,97.6,767.8
2006,37.4,90,89.6,31.2,49.8,26,23,44.2,54,87.2,87.6,150.7,770.7
2007,106.5,143.2,93.4,15.7,113.9,105.3,93.9,82.5,46.4,15.4,70.9,98.4,985.5
2008,111.2,37.8,111.9,61.7,129.5,29.8,30.4,75.5,66.7,118.1,133.9,84,990.5
2009,99.4,46.6,45,62.7,40.5,46.3,44.2,22.7,23.3,73.4,216.3,107.9,828.3
2010,93.9,123.3,30.9,14,39.4,44.6,30.8,101,53.5,124.3,192.4,109.4,957.5
2011,53.8,72.2,27.6,0.2,18,44.8,91.8,43,66,40.2,27,247.4,732
2012,56.6,24,30.4,112.8,69.8,91.6,58.2,67,63.8,176.1,132,202.8,1085.1
2013,123.4,67.9,147,55.8,67.1,23.5,34.4,23.6,46.9,134.6,148.7,119.4,992.3
2014,177.7,133.3,54.3,67.8,84.9,12.6,42.1,84.8,6.8,91.1,155.8,94.4,1005.6
2015,106.6,99.6,37.4,39.7,40.5,40.9,65.5,163.4,61.4,56.1,97.1,85.8,894
2016,190.9,134.1,110.9,39.5,42.4,62.7,23.2,53.9,47,56.6,139.2,22.6,923
2017,72.4,98.4,80.8,40.8,79.4,42,47.6,104.6,129.4,67,111,181.8,1055.2
2018,149.8,56.4,119.2,66.4,25.8,41,20,43.6,35.6,59.8,77.4,109.1,804.1
2019,66.6,63.4,65.1,54.4,47.6,91.6,10.2,69.6,77.2,194,200,123,1062.7
2020,93.4,152.4,92.4,41.8,17.2,97.6,10.8,48.6,38.7,241.6,84.5,259.4,1178.4
2021,156.9,44.8,39.8,12,102.4,92.2,50.8,30.4,61.6,135.5,69.1,110.2,905.7
